,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
TRG 1 - Low,655.8439918,521.0152917,517.3809198,513.7718997,510.1880545,506.6292086,503.0951876,499.5858184,496.1009291,492.6403487,489.2039079,485.7914381,482.4027722,479.0377441,475.696189,472.3779431,469.0828438,465.8107296,462.5614403,459.3348166,456.1307004,452.9489346,449.7893635,446.6518321,443.5361868,440.4422748,437.3699446,434.3190456,431.2894283,428.2809443,425.2934461,422.3267874,419.3808228,416.4554079
TRG 1 - Mid,655.8439918,651.2691147,646.7261498,642.2148746,637.7350681,633.2865107,628.8689846,624.4822731,620.1261613,615.8004359,611.5048848,607.2392976,603.0034652,598.7971801,594.6202362,590.4724289,586.3535547,582.263412,578.2018004,574.1685207,570.1633754,566.1861683,562.2367044,558.3147901,554.4202335,550.5528435,546.7124307,542.8988069,539.1117853,535.3511803,531.6168076,527.9084842,524.2260285,520.5692599
TRG 1 - Constant,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918,655.8439918
TRG 2 - Low,684.4215007,543.7178235,539.9250888,536.1588106,532.4188042,528.7048864,525.0168753,521.3545902,517.7178515,514.106481,510.5203019,506.9591384,503.422816,499.9111615,496.4240026,492.9611687,489.5224899,486.1077978,482.7169252,479.3497057,476.0059745,472.6855676,469.3883225,466.1140775,462.8626721,459.6339471,456.4277443,453.2439065,450.0822778,446.9427032,443.8250288,440.729102,437.654771,434.6018852
TRG 2 - Mid,684.4215007,679.6472794,674.9063611,670.1985132,665.5235052,660.8811081,656.2710942,651.6932377,647.1473143,642.6331013,638.1503774,633.6989231,629.2785201,624.8889518,620.5300033,616.2014608,611.9031124,607.6347473,603.3961564,599.1871321,595.0074681,590.8569595,586.7354031,582.6425968,578.5783401,574.5424339,570.5346804,566.5548831,562.6028472,558.678379,554.781286,550.9113775,547.0684638,543.2523565
TRG 2 - Constant,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007,684.4215007
TRG 3 - Low,689.1361097,547.4632011,543.6443403,539.8521182,536.0863489,532.346848,528.6334322,524.9459195,521.2841293,517.6478821,514.0369998,510.4513054,506.8906231,503.3547787,499.8435987,496.3569111,492.8945452,489.4563312,486.0421006,482.6516862,479.2849218,475.9416425,472.6216844,469.3248849,466.0510823,462.8001164,459.5718278,456.3660583,453.1826508,450.0214494,446.8822991,443.7650461,440.6695377,437.5956222
TRG 3 - Mid,689.1361097,684.3290014,679.5554254,674.8151478,670.1079362,665.43356,660.7917903,656.1823994,651.6051616,647.0598527,642.5462497,638.0641317,633.6132789,629.1934733,624.8044984,620.4461389,616.1181815,611.820414,607.5526257,603.3146077,599.1061523,594.9270531,590.7771055,586.6561061,582.5638529,578.5001455,574.4647848,570.4575729,566.4783135,562.5268117,558.6028738,554.7063076,550.8369221,546.9945277
TRG 3 - Constant,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097,689.1361097
TRG 4 - Low,868.0225261,689.5740683,684.763905,679.9872954,675.2440052,670.5338021,665.8564553,661.2117356,656.5994154,652.0192687,647.4710711,642.9545997,638.4696332,634.0159518,629.5933373,625.2015731,620.8404438,616.5097359,612.2092371,607.9387366,603.6980252,599.4868952,595.3051402,591.1525552,587.0289368,582.9340829,578.867793,574.8298677,570.8201091,566.8383209,562.8843078,558.9578762,555.0588336,551.1869891
TRG 4 - Mid,868.0225261,861.9675854,855.9548813,849.9841192,844.0550065,838.1672526,832.3205691,826.5146695,820.7492692,815.0240859,809.3388388,803.6932496,798.0870415,792.5199397,786.9916717,781.5019664,776.0505548,770.6371699,765.2615463,759.9234207,754.6225315,749.358619,744.1314252,738.940694,733.786171,728.6676037,723.5847412,718.5373346,713.5251364,708.5479011,703.6053848,698.6973453,693.8235421,688.9837363
TRG 4 - Constant,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261
TRG 5 - Low,467.0587872,371.0406336,368.4524185,365.8822576,363.3300251,360.7955957,358.2788455,355.7796509,353.2978897,350.8334401,348.3861814,345.9559937,343.5427579,341.1463558,338.7666699,336.4035837,334.0569813,331.7267478,329.4127689,327.1149314,324.8331225,322.5672305,320.3171444,318.0827539,315.8639495,313.6606224,311.4726649,309.2999695,307.1424299,304.9999404,302.8723959,300.7596922,298.6617258,296.5783939
TRG 5 - Mid,467.0587872,463.800792,460.5655231,457.352822,454.1625313,450.9944947,447.8485568,444.7245637,441.6223621,438.5418001,435.4827268,432.4449921,429.4284474,426.4329448,423.4583374,420.5044796,417.5712266,414.6584347,411.7659611,408.8936642,406.0414031,403.2090381,400.3964305,397.6034423,394.8299368,392.0757781,389.3408311,386.6249619,383.9280374,381.2499255,378.5904949,375.9496153,373.3271573,370.7229924
TRG 5 - Constant,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872,467.0587872
TRG 6 - Low,868.0225261,689.5740683,684.763905,679.9872954,675.2440052,670.5338021,665.8564553,661.2117356,656.5994154,652.0192687,647.4710711,642.9545997,638.4696332,634.0159518,629.5933373,625.2015731,620.8404438,616.5097359,612.2092371,607.9387366,603.6980252,599.4868952,595.3051402,591.1525552,587.0289368,582.9340829,578.867793,574.8298677,570.8201091,566.8383209,562.8843078,558.9578762,555.0588336,551.1869891
TRG 6 - Mid,868.0225261,861.9675854,855.9548813,849.9841192,844.0550065,838.1672526,832.3205691,826.5146695,820.7492692,815.0240859,809.3388388,803.6932496,798.0870415,792.5199397,786.9916717,781.5019664,776.0505548,770.6371699,765.2615463,759.9234207,754.6225315,749.358619,744.1314252,738.940694,733.786171,728.6676037,723.5847412,718.5373346,713.5251364,708.5479011,703.6053848,698.6973453,693.8235421,688.9837363
TRG 6 - Constant,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261,868.0225261
TRG 7 - Low,790.4939808,627.9838759,623.6033385,619.2533579,614.9337207,610.6442155,606.3846319,602.1547613,597.9543964,593.7833314,589.6413619,585.5282849,581.4438989,577.3880038,573.3604009,569.3608927,565.3892833,561.4453781,557.5289838,553.6399085,549.7779618,545.9429542,542.134698,538.3530065,534.5976943,530.8685776,527.1654736,523.4882007,519.8365789,516.2104292,512.6095739,509.0338365,505.483042,501.9570162
TRG 7 - Mid,790.4939808,784.9798449,779.5041732,774.0666973,768.6671509,763.3052693,757.9807899,752.6934516,747.4429955,742.2291642,737.0517023,731.9103561,726.8048737,721.7350048,716.7005011,711.7011158,706.7366041,701.8067226,696.9112297,692.0498857,687.2224522,682.4286928,677.6683725,672.9412581,668.2471179,663.585722,658.956842,654.3602509,649.7957236,645.2630365,640.7619673,636.2922957,631.8538025,627.4462702
TRG 7 - Constant,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808,790.4939808
TRG 8 - Low,798.6621261,634.4728103,630.047009,625.6520802,621.2878084,616.9539798,612.6503821,608.3768044,604.1330373,599.9188728,595.7341045,591.5785272,587.4519375,583.3541329,579.2849129,575.2440779,571.23143,567.2467726,563.2899104,559.3606495,555.4587973,551.5841628,547.736556,543.9157884,540.1216728,536.3540232,532.6126551,528.8973851,525.2080312,521.5444127,517.9063498,514.2936645,510.7061797,507.1437196
TRG 8 - Mid,798.6621261,793.0910129,787.5587613,782.0651002,776.6097605,771.1924748,765.8129776,760.4710055,755.1662966,749.898591,744.6676306,739.473159,734.3149218,729.1926662,724.1061411,719.0550974,714.0392876,709.0584658,704.112388,699.2008118,694.3234967,689.4802035,684.670695,679.8947355,675.1520909,670.442529,665.7658189,661.1217314,656.5100391,651.9305158,647.3829373,642.8670807,638.3827247,633.9296495
TRG 8 - Constant,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261,798.6621261
TRG 9 - Low,870.551869,691.5834278,686.7592481,681.9687198,677.2116081,672.4876798,667.7967037,663.1384496,658.5126895,653.9191967,649.357746,644.828114,640.3300787,635.8634197,631.4279181,627.0233566,622.6495194,618.3061922,613.9931621,609.7102177,605.4571493,601.2337484,597.0398081,592.8751228,588.7394886,584.6327027,580.5545639,576.5048724,572.4834298,568.4900389,564.5245042,560.5866313,556.6762273,552.7931005
